coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,179.0,1,saas,14,60000000.0,60000000.0,1.0,2.0,12110,0,23018,1.17,995797,-0.168,0.167,2.648,2.602,-0.131,-1.051,0.009,0.01
iexec-rlc,17 Apr 2017,10 May 2017,23.0,399.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,0.593,151637,0.29,0.168,2.662,2.607,-0.109,-1.528,0.01,0.01
ambrosus,22 Sep 2017,22 Oct 2017,30.0,234.0,6,insurance services,20,32507330.0,98507061.0,0.33,0.29,4238,0,17216,-0.45,35697,0.095,0.119,1.895,1.852,0.205,0.793,0.009,0.009
crypto20,16 Oct 2017,30 Nov 2017,45.0,195.0,1,fintech,6,37698373.0,75396746.0,0.5,1.1,N/A,0,9629,2.373,5672340,-0.206,-0.204,-3.238,-3.335,-0.104,-0.473,-0.007,-0.007
decentbet,21 Sep 2017,19 Oct 2017,28.0,237.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.815,26234,-0.027,0.147,2.341,2.367,-0.389,-3.339,0.01,0.002
bloom,30 Nov 2017,1 Jan 2018,32.0,163.0,1,saas,5,41420705.0,81217069.0,0.51,0.7,13428,0,444,1.714,101651,-0.316,-0.147,-2.332,-2.29,-0.114,0.121,-0.008,-0.004
medicalchain,1 Feb 2018,1 Feb 2018,0.0,132.0,4,insurance services,10,23991953.0,23991953.0,1.0,0.2,26742,0,15844,0.588,122744,-0.117,-0.26,-4.129,-4.054,-0.078,-0.087,-0.008,-0.008
cofound.it,31 May 2017,07 Jun 2017,7.0,378.0,5,fintech,9,14820030.0,14820030.0,1.0,0.12,1084,0,N/A,1.682,3663160,-0.201,0.04,0.643,0.646,0.003,-1.881,0.001,-0.002
matchpool,2 Apr 2017,4 Apr 2017,2.0,435.0,12,saas,7,5800000.0,N/A,N/A,0.1,2205,0,N/A,1.41,610,0.177,0.116,1.842,1.843,0.063,0.185,0.023,0.001
agrello,16 Jul 2017,17 Aug 2017,32.0,300.0,5,saas,7,30100000.0,43000000.0,0.7,0.56,4832,0,14954,-0.284,82770,-0.054,0.004,0.058,0.061,-0.056,-3.91,0.004,-0.002
locktrip,29 Oct 2017,30 Nov 2017,32.0,195.0,5,other,20,4000000.0,N/A,N/A,N/A,N/A,0,N/A,0.0,169077,0.447,0.14,2.223,2.225,0.048,-2.214,0.008,0.001
friendz,1 Mar 2018,20 Mar 2018,19.0,85.0,6,fintech,13,13754758.0,50943548.0,0.27,0.067,68958,0,55774,-0.704,250482,0.157,0.065,1.024,1.028,-0.391,-2.521,0.003,0.004
wetrust,2 Mar 2017,14 Apr 2017,43.0,425.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,0,10,0.305,165713,0.24,0.197,3.128,3.096,-0.026,-1.12,0.007,-0.013
spectiv,8 Dec 2017,31 Dec 2017,23.0,164.0,1,entertainment,8,7605767.0,10563565.0,0.72,0.5,N/A,0,3333,-0.966,118105,0.045,0.076,1.209,1.148,-0.076,1.152,0.005,0.004
eboost,13 Sep 2016,25 Oct 2016,42.0,596.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,-0.126,300469,0.238,0.133,2.105,2.084,0.085,3.825,0.014,0.007
bitjob,12 Sep 2017,13 Oct 2017,31.0,243.0,12,saas,26,2726424.0,11854017.0,0.23,0.39,2192,0,6903,-0.733,67138,-0.152,0.142,2.26,2.245,-0.179,-0.07,0.012,-0.0
escroco,30 Oct 2017,28 Nov 2017,29.0,197.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,30.9,515908,0.173,0.03,0.473,0.455,-0.2,-2.603,0.015,0.02
peerguess,28 Oct 2017,09 Dec 2017,42.0,186.0,12,saas,8,N/A,N/A,N/A,N/A,1054,0,2054,0.0,42120,-0.235,-0.063,-0.997,-1.02,-0.233,16.398,0.017,0.032
