age,region,industry,hardcap,telegram,team,N_google_news,N_twitter,price
171.0,1.0,4,60000000.0,12052.0,19.0,2.0,22523.0,2.0
164.0,1.0,4,36680000.0,69079.0,9.0,0.0,237173.0,0.052000000000000005
226.0,4.0,0,40000000.0,49435.0,15.0,0.0,124009.0,0.01
88.0,1.0,2,31680000.0,726.0,6.0,0.0,6725.0,0.00317
171.0,3.0,1,30000000.0,55887.0,13.0,0.0,16569.0,0.1
346.0,1.0,4,33000000.0,8910.0,2.0,0.0,86563.0,0.1
234.0,2.0,0,15000000.0,7954.0,12.0,0.0,38894.0,0.01
272.0,2.0,4,400.0,2358.0,11.0,0.0,6412.0,0.05
125.0,3.0,4,25000000.0,34291.0,11.0,0.0,12374.0,0.0
198.0,1.0,4,12500000.0,10900.0,19.0,0.0,305.0,0.0724
121.0,7.0,4,19500000.0,23268.0,10.0,0.0,32480.0,0.12
95.0,7.0,4,20000000.0,27429.0,9.0,0.0,18681.0,0.17
139.0,3.0,7,22000000.0,74243.0,14.0,0.0,29251.0,0.0352
226.0,6.0,3,97800000.0,4222.0,20.0,6.0,16866.0,0.29
221.0,1.0,4,40000000.0,3716.0,18.0,0.0,6389.0,0.42
200.0,2.0,2,33000000.0,8047.0,10.0,0.0,19029.0,1.0
137.0,5.0,4,22000000.0,10088.0,11.0,0.0,541.0,0.1
140.0,5.0,2,21750.0,34071.0,15.0,0.0,16313.0,1.5
155.0,8.0,0,25000000.0,20999.0,19.0,0.0,25009.0,0.001
97.0,7.0,7,20000000.0,9028.0,17.0,0.0,7004.0,0.002
121.0,7.0,4,40000000.0,51861.0,20.0,0.0,35743.0,0.13
184.0,2.0,8,11500000.0,8429.0,10.0,0.0,34783.0,0.25
165.0,7.0,4,15300000.0,11810.0,18.0,0.0,27212.0,0.1
195.0,6.0,4,21000000.0,4894.0,26.0,0.0,28163.0,0.07
88.0,1.0,7,30000000.0,6270.0,13.0,0.0,5647.0,0.18
188.0,2.0,4,99000000.0,14255.0,25.0,0.0,1124.0,0.01
124.0,4.0,3,24000000.0,26990.0,10.0,11.0,15703.0,0.2
155.0,1.0,4,80500000.0,13588.0,11.0,4.0,440.0,0.7
157.0,1.0,2,140000.0,6275.0,9.0,0.0,7662.0,1.47
85.0,7.0,2,14400000.0,9410.0,23.0,0.0,4032.0,0.08
170.0,2.0,2,10000000.0,1226.0,15.0,0.0,4208.0,0.01
14.0,5.0,2,13542375.0,10419.0,13.0,0.0,5243.0,0.14
42.0,12.0,7,18000000.0,11928.0,12.0,0.0,5621.0,0.5
125.0,4.0,2,28750000.0,22236.0,15.0,0.0,30927.0,0.5
292.0,5.0,4,43200000.0,4818.0,13.0,2.0,14800.0,0.56
-4.0,7.0,6,30000000.0,24392.0,9.0,0.0,5712.0,1.0
170.0,1.0,2,100000000.0,21.0,9.0,0.0,3025.0,0.1
186.0,1.0,4,25500000.0,7053.0,19.0,0.0,22627.0,0.1
73.0,1.0,4,20000000.0,58839.0,5.0,0.0,37586.0,0.01
140.0,6.0,0,105000000.0,22288.0,12.0,0.0,21263.0,1.0
165.0,5.0,4,76800000.0,11698.0,15.0,0.0,9842.0,0.24
113.0,1.0,4,10000000.0,2052.0,11.0,0.0,4417.0,1.0
140.0,7.0,2,21780000.0,11338.0,48.0,0.0,0.0,0.02
42.0,4.0,0,10000000.0,7743.0,6.0,0.0,6107.0,0.02
84.0,7.0,2,50000000.0,11596.0,17.0,0.0,1385.0,0.08
122.0,6.0,0,18600000.0,4385.0,36.0,0.0,3101.0,0.65
34.0,7.0,4,12000000.0,7852.0,24.0,0.0,6378.0,0.25
166.0,4.0,2,25000000.0,1770.0,7.0,0.0,260.0,0.06
177.0,5.0,2,16000000.0,12370.0,19.0,0.0,8910.0,0.12
227.0,1.0,5,15000000.0,837.0,14.0,0.0,6303.0,0.02
261.0,10.0,7,25000000.0,737.0,1.0,0.0,3499.0,0.1
180.0,7.0,4,2900000.0,2482.0,8.0,0.0,3906.0,0.93
105.0,2.0,7,15000000.0,324.0,18.0,0.0,1258.0,16.0
81.0,7.0,5,36000000.0,29449.0,51.0,0.0,2057.0,0.0974
199.0,12.0,4,15000000.0,1934.0,16.0,0.0,706.0,3.3
199.0,1.0,4,1000000.0,1517.0,21.0,0.0,2273.0,0.1
184.0,5.0,0,15000000.0,11577.0,11.0,0.0,13058.0,0.48
125.0,12.0,0,16000000.0,4962.0,18.0,0.0,6591.0,0.39
81.0,5.0,1,17500000.0,16166.0,17.0,0.0,5535.0,0.17
246.0,7.0,9,33000000.0,2014.0,4.0,0.0,4500.0,1.38
198.0,2.0,4,29500000.0,1971.0,22.0,0.0,3959.0,0.74
44.0,7.0,0,3900000.0,8626.0,12.0,0.0,9707.0,0.28
283.0,12.0,1,20000000.0,1630.0,11.0,0.0,3648.0,0.04
88.0,5.0,4,13400000.0,6821.0,8.0,0.0,1281.0,0.23
216.0,4.0,0,64300000.0,361.0,3.0,0.0,8553.0,0.31
214.0,2.0,9,69200000.0,5161.0,12.0,0.0,4047.0,0.57
97.0,4.0,2,33200000.0,14795.0,5.0,0.0,6137.0,0.17
248.0,5.0,4,41000000.0,10566.0,5.0,0.0,0.0,1.01
289.0,1.0,4,60000000.0,1663.0,13.0,0.0,3360.0,0.26
149.0,3.0,4,14500000.0,3982.0,17.0,0.0,4359.0,0.2
34.0,4.0,2,30000000.0,12.0,15.0,0.0,4127.0,1.0
182.0,1.0,1,15000000.0,2831.0,19.0,0.0,5366.0,0.5
123.0,5.0,4,46000000.0,10716.0,14.0,0.0,4968.0,1.15
98.0,6.0,5,9500000.0,14003.0,15.0,0.0,15613.0,1.05
190.0,2.0,7,2700000.0,2353.0,8.0,0.0,4003.0,0.23
76.0,7.0,2,35000000.0,6970.0,5.0,0.0,775.0,0.1
64.0,7.0,4,30000000.0,39290.0,18.0,0.0,9019.0,0.165
170.0,7.0,2,31100000.0,4698.0,7.0,0.0,7835.0,0.31
63.0,5.0,0,9000000.0,5382.0,11.0,0.0,1525.0,0.1125
192.0,1.0,4,20000000.0,737.0,16.0,0.0,5428.0,0.043
179.0,7.0,4,2500000.0,3545.0,9.0,0.0,508.0,0.23
200.0,12.0,4,50000000.0,7203.0,36.0,0.0,2272.0,0.25
197.0,12.0,2,30000000.0,5165.0,18.0,0.0,165959.0,1.0
204.0,2.0,2,40000000.0,11108.0,11.0,0.0,2600.0,7.0
210.0,5.0,9,7260000.0,13667.0,5.0,0.0,13012.0,0.1
281.0,4.0,4,8820000.0,801.0,6.0,0.0,8829.0,0.15
108.0,5.0,4,5000000.0,2737.0,6.0,0.0,7813.0,0.2
317.0,2.0,0,10000000.0,731.0,5.0,0.0,6712.0,0.04
226.0,7.0,0,4700000.0,1599.0,4.0,0.0,1.0,0.3
235.0,12.0,4,12000000.0,2181.0,26.0,4.0,6866.0,0.39
201.0,5.0,8,39800000.0,2133.0,11.0,0.0,4962.0,0.74
159.0,3.0,4,58000000.0,16090.0,11.0,0.0,3739.0,0.97
187.0,2.0,4,20000000.0,1964.0,8.0,0.0,2412.0,1.0
194.0,1.0,5,15000000.0,2437.0,7.0,0.0,9019.0,0.1
275.0,1.0,1,10000000.0,10.0,2.0,0.0,1484.0,0.25
244.0,1.0,2,26100000.0,1188.0,19.0,0.0,48.0,0.73
27.0,12.0,2,16500000.0,55048.0,31.0,0.0,1945.0,0.0515
133.0,12.0,4,35000000.0,22960.0,4.0,0.0,5257.0,2.1
25.0,8.0,4,35000000.0,14586.0,26.0,0.0,21640.0,0.5
166.0,7.0,4,15000000.0,4572.0,9.0,0.0,5571.0,0.03
6.0,12.0,7,9700000.0,21466.0,13.0,0.0,4887.0,0.23
13.0,1.0,7,48000000.0,16443.0,25.0,0.0,7172.0,0.01
232.0,5.0,1,173900000.0,1954.0,13.0,0.0,4495.0,0.04
64.0,7.0,4,20000000.0,100000.0,6.0,0.0,194.0,0.05
64.0,12.0,0,10000000.0,5117.0,13.0,0.0,12904.0,0.05
65.0,11.0,7,40800000.0,2094.0,9.0,0.0,51.0,0.0349
123.0,5.0,7,30000000.0,2960.0,16.0,0.0,2560.0,0.1
60.0,5.0,7,25000000.0,7073.0,8.0,0.0,2447.0,0.05
90.0,7.0,0,52500000.0,3332.0,33.0,0.0,5286.0,0.35
175.0,2.0,0,55000000.0,8088.0,5.0,0.0,930.0,1.0
